feature,gain,importance_pct
Micro_S59,24.572071075439453,7.692085940279622
Micro_S3,22.740619659423828,7.118765049086203
Micro_S52,17.80010414123535,5.572177061508065
Micro_S6,10.914937973022461,3.416832088086767
Micro_S13,10.62784481048584,3.326959920929247
Micro_S58,7.7742509841918945,2.4336657055936834
Micro_S43,7.7173590660095215,2.415856155775004
Micro_S40,6.816277503967285,2.133779940337135
Micro_S56,6.309235572814941,1.975054609542876
Micro_S24,6.078799724578857,1.9029185513770304
Micro_S36,5.988605499267578,1.874683986603011
Micro_S2,5.940550327301025,1.859640707934852
Micro_S55,5.729946613311768,1.7937129372404776
Micro_S47,5.601587772369385,1.7535312515904482
Micro_S26,5.557726860046387,1.7398009516099637
Micro_S60,5.4846510887146,1.71692517888773
Micro_S35,5.185363292694092,1.6232355814256874
Micro_S19,5.154330730438232,1.613521091544623
Micro_S10,5.14190673828125,1.6096318623828048
Micro_S42,5.119786262512207,1.602707228308088
Micro_S45,5.0370965003967285,1.5768218743783862
Micro_S14,4.9334917068481445,1.5443892408671964
Micro_S46,4.624029159545898,1.447514520708747
Micro_S32,4.467501640319824,1.3985148606390188
Micro_S57,4.437076091766357,1.3889903914343313
Micro_S1,4.421101093292236,1.383989548779208
Micro_S15,4.361049652099609,1.365190936115539
Micro_S38,4.297075271606445,1.3451642793791667
Micro_S37,4.2110276222229,1.318227766295463
Micro_S31,4.197692394256592,1.314053282214119
Micro_S11,4.18272066116333,1.3093665035834239
Micro_S20,4.050002574920654,1.2678201918348588
Micro_S17,4.03743314743042,1.2638854353310964
Micro_S50,3.9523518085479736,1.2372514178488674
Micro_S51,3.7818984985351562,1.1838924028355076
Micro_S29,3.721656560897827,1.1650341568173903
Micro_S49,3.6465048789978027,1.1415085372651441
Micro_S4,3.6408722400665283,1.1397452857021435
Micro_S18,3.614565134048462,1.1315100612593298
Micro_S48,3.6134438514709473,1.1311590529164393
Micro_S54,3.5292961597442627,1.1048173060424942
Micro_S34,3.4934372901916504,1.0935919801237657
Micro_S9,3.4650352001190186,1.0847009380519959
Micro_S22,3.453758955001831,1.0811710017166025
Micro_S27,3.3490195274353027,1.0483831803032615
Micro_S28,3.2600438594818115,1.0205300749467445
Micro_S25,3.251082181930542,1.017724695063144
Micro_S33,3.2333240509033203,1.012165657341791
Micro_S39,3.2327375411987305,1.0119820552742786
Micro_S21,3.030629873275757,0.9487139023342966
Micro_S5,2.8804028034210205,0.901686546425578
Micro_S16,2.838183879852295,0.8884702575991416
Micro_S30,2.776240110397339,0.8690792670452911
Micro_S44,2.7598557472229004,0.8639502761178431
Micro_S12,2.7378103733062744,0.8570491520639665
Micro_S53,2.7361350059509277,0.8565246920117673
Micro_S41,2.6833035945892334,0.8399862506531708
Micro_S7,2.566622734069824,0.8034602612912821
Micro_S23,2.5215401649475098,0.7893475316384669
Micro_S8,2.1631276607513428,0.6771494277064221
