feature,gain,importance_pct
Macro_S22,17.01119613647461,7.073156641151536
Macro_S54,14.76223373413086,6.138051124512986
Macro_S56,8.172892570495605,3.398241305234823
Macro_S5,8.087529182434082,3.3627477038246347
Macro_S51,6.947953701019287,2.8889188313692875
Macro_S57,6.501277923583984,2.7031936350773123
Macro_S17,5.987260818481445,2.489468305508866
Macro_S18,5.150906562805176,2.1417170591865773
Macro_S25,5.10851526260376,2.1240910025506308
Macro_S24,4.645919322967529,1.931746295196864
Macro_S30,4.641355991363525,1.9298488883959728
Macro_S52,4.407979488372803,1.8328122926872101
Macro_S45,4.219230651855469,1.754331621733117
Macro_S32,4.216914176940918,1.7533684449056637
Macro_S53,4.212670803070068,1.7516040746735708
Macro_S49,4.1754679679870605,1.7361353517262863
Macro_S16,4.149986267089844,1.7255402083581763
Macro_S58,4.1113457679748535,1.7094737130488555
Macro_S9,4.007719993591309,1.6663867173787594
Macro_S40,4.004229545593262,1.6649354093555075
Macro_S35,3.980422258377075,1.6550364774796993
Macro_S21,3.8374316692352295,1.595581820258845
Macro_S23,3.825991153717041,1.5908249202932885
Macro_S12,3.7786056995391846,1.5711223234139637
Macro_S48,3.7100026607513428,1.5425975779749894
Macro_S47,3.513615608215332,1.460940981123292
Macro_S33,3.4654414653778076,1.4409104520758718
Macro_S19,3.4422452449798584,1.4312655982371945
Macro_S34,3.4226372241973877,1.4231126969770653
Macro_S10,3.378798723220825,1.4048849026566148
Macro_S60,3.351492166519165,1.3935309948342718
Macro_S37,3.2304346561431885,1.3431959844912214
Macro_S11,3.1833932399749756,1.323636436619926
Macro_S42,3.150588035583496,1.3099962229956528
Macro_S14,3.125701904296875,1.2996487140156632
Macro_S3,3.120711088180542,1.2975735616351485
Macro_S29,3.115628480911255,1.2954602430258806
Macro_S20,3.1125500202178955,1.2941802369332418
Macro_S36,3.0650556087493896,1.2744323362447212
Macro_S6,2.979527473449707,1.2388702338889002
Macro_S13,2.942892551422119,1.2236376458945792
Macro_S59,2.872426748275757,1.194338373844562
Macro_S28,2.8196651935577393,1.1724004255570193
Macro_S1,2.7358157634735107,1.1375363190886107
Macro_S26,2.719658136367798,1.1308180714973683
Macro_S31,2.5947673320770264,1.0788891997883447
Macro_S55,2.5487875938415527,1.0597710914407885
Macro_S15,2.5229766368865967,1.0490390453144744
Macro_S8,2.4850540161132812,1.033271039653925
Macro_S39,2.4831204414367676,1.032467070523558
Macro_S38,2.4815471172332764,1.0318128914494158
Macro_S2,2.471665143966675,1.0277040243081763
Macro_S4,2.4428420066833496,1.015719531080375
Macro_S27,2.4343557357788086,1.0121909888823128
Macro_S43,2.3560256958007812,0.9796218127922024
Macro_S46,2.0785071849823,0.8642312263754482
Macro_S50,1.9749820232391357,0.8211860648573883
Macro_S41,1.9292662143707275,0.8021776968091313
Macro_S44,1.7799255847930908,0.7400827296230248
Macro_S7,1.5164555311203003,0.6305334101672059
