Macro_S1,Macro_S2,Macro_S3,Macro_S4,Macro_S5,Macro_S6,Macro_S7,Macro_S8,Macro_S9,Macro_S10,Macro_S11,Macro_S12,Macro_S13,Macro_S14,Macro_S15,Macro_S16,Macro_S17,Macro_S18,Macro_S19,Macro_S20,Macro_S21,Macro_S22,Macro_S23,Macro_S24,Macro_S25,Macro_S26,Macro_S27,Macro_S28,Macro_S29,Macro_S30,Macro_S31,Macro_S32,Macro_S33,Macro_S34,Macro_S35,Macro_S36,Macro_S37,Macro_S38,Macro_S39,Macro_S40,Macro_S41,Macro_S42,Macro_S43,Macro_S44,Macro_S45,Macro_S46,Macro_S47,Macro_S48,Macro_S49,Macro_S50,Macro_S51,Macro_S52,Macro_S53,Macro_S54,Macro_S55,Macro_S56,Macro_S57,Macro_S58,Macro_S59,Macro_S60,Etiqueta
100.03346432140006,81.4193822739907,103.15846110011974,95.002327392811,26.854996876605423,109.09557091889302,75.06904395785726,58.019420527593866,101.13198061157179,72.52354155598867,107.64787223649037,87.64569119700172,90.9811107531621,43.25555153258781,89.53725791054315,100.56124526611603,132.9789101797945,31.941750053541057,140.57818438879463,82.11153840110477,68.48628484709756,78.67505506328996,60.68008507578441,55.621308036061556,69.73505097265043,57.55867613915317,29.40450257633329,73.8982011772378,63.9007984932519,59.287679652441064,137.80585820374236,37.92545581882748,73.02668928424922,62.65751820804284,68.89524918326721,60.138779760600166,82.5209662083181,34.17843334098063,60.71750132556662,32.86777911547069,95.63813912735567,67.2364760148323,102.54448063088907,41.95556687398856,59.07313142488352,116.93064105745019,39.756525536548935,154.42633752888455,49.830797156566454,79.73622250298074,90.94155707933395,116.84824420642619,122.44931762938246,58.85158529302719,86.03016845069422,50.3043260588682,98.35251238850846,101.24842796560522,85.43627663039516,114.41745724450982,NSR
105.95067489791016,79.40517236048075,113.18028790004358,119.97637348026541,34.410672886112145,116.70704939549813,70.6068117111869,70.48701231261569,105.12462996308871,75.98421570421539,111.02799511234656,86.96054337074705,87.30292365287497,45.39139601847123,90.46898503004273,104.04520969767562,125.79009726898335,39.36514499648595,138.88299660495426,88.85604767487412,76.28209794533765,98.50941214696721,55.96904808790086,53.57069707331769,72.71010012466137,59.122746079528156,35.791361632614446,73.81023602291063,73.23065336578215,63.338235671146464,131.4301880443022,36.92063056622521,64.41964291299244,72.20035977305177,67.77013227757404,63.04154103000897,78.00781701224312,34.19187712153107,67.1483248550178,37.03688385489981,104.73709992977372,82.01178694993126,116.84215684031783,47.81212031516047,64.70985204465529,109.95399497311125,45.47977806756754,144.73698338904566,56.95525432153425,88.34060332755061,106.2729029846414,109.70136016433169,117.54823964980649,56.05955650528874,91.85542982259062,56.66735892051324,94.37534918065062,108.69345135546739,75.88087634758197,109.45541602502497,NSR
106.07044524340951,80.54873590253037,108.35558667613704,79.9163050491061,30.17409946593505,108.55169307746515,83.89362358419142,62.13596720376324,102.54181243296289,77.93101528517197,115.22729202360661,99.18890567035366,98.34085423254898,48.63415202285004,92.64822501266623,114.99502503889853,146.78796204732998,28.759702386007024,153.129760613963,84.77514050204225,74.6593537039014,75.66602113902043,68.11886465199535,58.17824038268863,66.97133722528703,59.86514185779619,29.810526966929018,81.76427065303278,73.68315075691812,55.3758469570221,149.21822100341438,37.13350020162942,69.2378263165372,63.136935677330754,74.91457937490776,66.2414524254582,87.91375752075082,34.59089016012168,61.992093334119474,33.252197131600965,90.63242602834015,64.02946798815618,105.54703779284989,42.20979831318675,66.73481759830653,125.19570428482336,42.33995265211506,164.47635736939733,43.9121784481842,80.01417730662303,78.0678355646924,114.74576988934581,132.7548548307773,65.30010880486458,88.79342155222164,55.42163319022054,96.51714810764175,112.19450553086946,86.14428706824714,115.76152153773134,NSR
110.06609395187313,72.94687363228877,114.70759337221476,113.10265434750902,36.53335255580195,120.57528704481749,80.6020503074381,70.49873469967339,102.37722261406807,83.5545093460788,110.48925721973252,101.60292592962195,96.55608938366275,53.02580725941517,106.22593171730847,110.79459181149508,142.10259139089908,38.990370466075916,140.50498356445627,81.46377445896732,75.2121566382894,94.36119479139519,60.09503652563671,55.431436259842236,66.95815839155348,68.34348404913398,30.772926361969883,80.61791662930577,77.70332919888794,53.11550170397561,141.52286979280268,37.13230479935135,63.8761120850709,78.5272725831011,71.95756980525945,65.86300800327678,89.45312434390624,38.52983612546435,51.41294956757277,38.955100224478436,100.68491556020282,70.77852361770816,117.13150951561927,38.98362330309916,65.86748011300573,118.40954675617019,48.95268392488502,162.92853232666036,61.26638779297203,86.39962973108801,102.24217569177283,92.7661232576917,113.44733368695746,59.710973974181776,96.56769699921004,60.818051977688185,92.010019431038,85.75167200045088,75.63669525636134,112.54585180382908,AFIB
99.8666410725712,86.77631078031293,110.42000373644827,109.69919449714378,29.11771584317023,119.26128762653418,74.349435512569,65.22507111376936,102.77494738307311,80.12966931506683,116.74745388399214,91.6686545244422,85.14477243508367,49.08003168174028,91.35625807041548,103.44304207705382,129.73238860312267,38.83343682267208,136.65060492150843,85.6011304129517,73.93669324524353,100.73973312130765,64.04907710629476,54.692165470690355,79.94184293162192,61.0883092833187,34.46056797038908,77.29687620031791,74.21659249871537,73.55275826476368,134.42692594122005,41.28573863730041,77.799048490322,71.6443859555484,65.14301204378123,65.52690720798996,76.05872107719094,35.47864344573872,61.29170863057181,35.010528649488826,103.57408979463042,74.04995249015437,113.15987579708819,44.35046093992889,58.777032124550935,109.22217659751689,45.16678017638982,146.26151332555324,58.73650512440953,79.7086306634682,105.86714059426214,126.05434471798723,120.79748862379287,57.5824974802897,89.25452045238671,55.76785108672842,99.16899879429747,116.9185720261772,92.369616419239,112.93102192913581,NSR
95.73796195158388,95.97808233872962,94.83017789490913,98.12091510436018,27.722887909538482,111.36954011812425,61.60879473182128,50.79202429810936,101.71941442560292,74.341054183281,125.18322074031187,69.70034028836963,78.59750703990856,41.90545958761279,77.2753076540161,93.88206874174745,115.62279142270596,35.18925314914313,137.96312846830415,87.60977043446107,68.97094942547324,78.03405766898446,64.50614712093741,59.75061490474276,82.47846181038389,54.48240636885892,29.24716512921778,73.84965607867049,66.45841669446796,70.32219747410983,135.70175882627456,46.165901865614494,73.78686722338945,62.18544227708279,66.76069123925122,67.65733575734977,78.97926020727301,27.287912292576888,66.91885682640417,28.16386448347162,106.8584966845909,83.7285054131114,113.92013963214252,48.27713055549913,54.92306137187744,111.86496195250697,41.10145606468001,135.45477013956315,47.35758647724433,81.25392862338998,96.19761900213481,130.12835158426088,139.03609830213256,57.08291774913649,87.27325006140588,51.48694414992214,95.25321824499692,137.715165555206,87.5829431107174,115.95095330994266,NSR
107.90945013856265,77.07633188977674,108.6273916558585,90.6808621045675,30.979663109227975,109.7005348611606,82.29891153217125,65.04167712262554,95.14123828878455,73.9013142421,110.4904353153916,94.77920628939074,93.6405242067651,45.361853111519615,92.53916614206032,113.4165743379054,141.41960006354697,30.509373545672595,148.73619254776102,86.94932258057952,74.05914701445776,82.97080887098497,67.10027428483158,55.3266299964071,65.01493013326706,58.06214780612889,28.445742602519854,79.67326100067777,72.79562586531208,61.71233610222489,137.21721527746857,36.14526700072825,72.64550857301586,63.3046220350856,70.93593788751954,64.69742623278523,83.77857221548467,33.632153934580884,59.162619272882665,29.698538846284897,95.83272841272404,65.57517156794526,102.95224964684219,42.92744067955627,65.70809117375354,117.7907102383212,44.99848426599566,158.3211308101054,45.125518746621665,81.82705584517734,82.77304370792781,103.95530237612863,120.5259174866163,62.55804128108177,88.71701581837063,59.393021893345946,90.31995971326039,109.59697581447277,83.6407481039679,115.17939181274312,NSR
100.49618005449511,110.31439581445447,120.43910450155006,126.00865923434363,33.67151801365786,146.87296554338855,61.66575049773335,60.08134794830177,116.6441249734703,82.22680448980108,137.5260029222303,74.96398089446518,66.17196489425187,50.37928570726408,79.05055720965996,80.3204710938997,103.43374809267709,42.53682799213286,143.96143760616027,109.98842304583314,75.00549443803699,117.7772185197338,58.413691883040315,68.31866178432408,98.1207963518991,51.16914705023908,33.29893654533551,74.76901501654784,78.83078054988408,99.70250869505675,131.80920873822944,52.09041371230764,93.9238021642175,75.04988227168337,52.44596535661809,76.56226360245601,75.16683384554483,39.33447092282624,84.05206934745327,30.76964073104232,121.36188173610708,111.606134732863,128.72231705317355,64.33892567273443,68.47700896321784,107.93097082673245,43.9870513999459,113.89087880042983,69.65527289030189,98.07445121461056,134.41050138338576,155.88423312760273,160.32018334077162,50.33558514597426,90.67973443923408,60.08592316587121,111.15959212571536,162.67849249159406,107.68055613659004,113.52562507251226,AFIB
111.34670887076228,66.97185081437603,116.04900260546125,116.33104326022193,35.471672651626214,117.27706436304649,81.16574218687386,71.83980291733006,105.40317377940103,81.47128395801671,115.16703483376453,98.14925042634127,100.30892760524907,48.926584659708695,104.052974168279,113.02789276513772,145.44821320421389,36.80948015875606,140.12524695491626,83.86335720011726,77.78387692203772,91.42731458894865,62.53481902274135,58.252124092677306,58.845828440435355,67.09804066407834,33.08062816200081,77.1655021291728,79.09104734678313,47.18121772303033,143.98159763472765,35.56104383009176,62.24766386650109,76.90184086118262,71.93349510760589,60.50028670220434,89.88554967984751,39.87651562470443,58.00155878208968,36.981561291201054,101.24993441033689,67.09192441746727,114.61689149059973,37.32047742222943,65.87340946438364,117.92859789520676,50.22251740452507,164.21741660319609,60.22624005829906,83.40190125072726,105.28701422005413,80.61820621950991,112.19474835613902,61.39539552479753,92.73109429511833,63.65734268317653,91.57524305581656,74.91975227601829,74.4934235890197,109.8537047639531,NSR
93.41181705288699,105.8899869891436,91.78857190605842,87.98810765085705,31.019596047363642,123.3715516650919,63.62101015227228,42.165414573184094,109.59506845830394,67.69391553669247,128.72249089838692,64.56295789494735,65.93293281141393,43.103363609196315,72.60498785976839,76.72406865701477,105.20237729109716,32.106584454325215,145.76891665970038,95.43930028926404,61.57022763787031,88.79456458886561,56.96538029970958,66.24323132097734,84.21213173996556,44.69285786388069,26.959094193878112,73.11496751767358,66.76835372353948,87.23603625743574,135.41314246661827,49.17924832678036,86.77358756334417,53.84121794040602,56.71536900131217,67.70329115849303,71.0635230653458,29.005100092760124,76.76711918782325,28.9513130772034,105.50220727692493,94.88291938512462,105.99190836906152,54.839015887370856,61.493963127873975,112.17333517801163,33.49470547123749,117.26965793867154,50.09571828767753,76.73294025019653,105.43486713765377,147.90553824119573,149.74711060974388,54.42333385286957,81.5940841249337,46.01830526575787,104.6492295661349,154.1357624612407,98.61117950921856,114.79005480429704,AFIB
